GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
matchingEngine,fr.eql.matchingEngine.aspect,LoggingAspect,1137,0,136,0,139,0,78,0,10,0
matchingEngine,fr.eql.matchingEngine.services.servicesimpl,OrderServicesImpl,23,0,0,0,6,0,2,0,2,0
matchingEngine,fr.eql.matchingEngine.services.servicesimpl,MatchinServiceImpl,364,0,18,0,58,0,23,0,14,0
matchingEngine,fr.eql.matchingEngine.services.servicesimpl,PriceServicesImpl,93,0,2,0,20,0,10,0,9,0
matchingEngine,fr.eql.matchingEngine.utils,Util,19,0,0,0,4,0,2,0,2,0
matchingEngine,fr.eql.matchingEngine.utils,CustomDateSerializer,21,0,0,0,8,0,3,0,3,0
matchingEngine,fr.eql.matchingEngine.dto.response,ResponseError,24,0,0,0,10,0,7,0,7,0
matchingEngine,fr.eql.matchingEngine.dto.response,Response,141,0,0,0,49,0,20,0,20,0
matchingEngine,fr.eql.matchingEngine.dto.response,Response.PageMetadata,27,0,0,0,10,0,5,0,5,0
matchingEngine,fr.eql.matchingEngine.dto.response,Response.Status,104,0,0,0,2,0,1,0,1,0
matchingEngine,fr.eql.matchingEngine,ServletInitializer,12,0,0,0,2,0,2,0,2,0
matchingEngine,fr.eql.matchingEngine,MatchingEngineApplication,140,0,0,0,16,0,3,0,3,0
matchingEngine,fr.eql.matchingEngine.endpointservices.servicesimpl,WalletServicesImpl,155,0,6,0,35,0,8,0,5,0
matchingEngine,fr.eql.matchingEngine.exception,RestResponseEntityExceptionHandler,133,0,0,0,38,0,7,0,7,0
matchingEngine,fr.eql.matchingEngine.exception,BadRequestException,11,0,0,0,6,0,3,0,3,0
matchingEngine,fr.eql.matchingEngine.dto.entity,Ordre,213,0,0,0,64,0,27,0,27,0
matchingEngine,fr.eql.matchingEngine.dto.entity,Currency,72,0,0,0,21,0,11,0,11,0
matchingEngine,fr.eql.matchingEngine.dto.entity,Payment,106,0,0,0,32,0,17,0,17,0
matchingEngine,fr.eql.matchingEngine.controller,OrderController,46,0,0,0,7,0,7,0,7,0
matchingEngine,fr.eql.matchingEngine.controller,PriceController,89,0,2,0,13,0,7,0,6,0
matchingEngine,fr.eql.matchingEngine.security,WebSecurityConfig,54,0,0,0,12,0,4,0,4,0
matchingEngine,fr.eql.matchingEngine.dto.model,PriceDto,77,0,0,0,23,0,11,0,11,0
matchingEngine,fr.eql.matchingEngine.dto.model,Message,10,0,0,0,3,0,3,0,3,0
matchingEngine,fr.eql.matchingEngine.dto.model,PaymentDto,36,0,0,0,16,0,8,0,8,0
matchingEngine,fr.eql.matchingEngine.dto.model,OrderDTO,87,0,0,0,26,0,13,0,13,0
matchingEngine,fr.eql.matchingEngine.dto.model,PricesRequest,33,0,0,0,14,0,7,0,7,0
matchingEngine,fr.eql.matchingEngine.dto.constant,Interval,195,0,0,0,20,0,2,0,2,0
matchingEngine,fr.eql.matchingEngine.dto.constant,TradingPair,74,0,0,0,8,0,1,0,1,0
matchingEngine,fr.eql.matchingEngine.dto.constant,OrderStatus,114,0,0,0,23,0,1,0,1,0
matchingEngine,fr.eql.matchingEngine.dto.constant,OrderType,24,0,0,0,5,0,1,0,1,0
